"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,20-Kansas,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Kansas,39273,84299,1089043"
"29,Mo,Missouri,7931,15017,226198"
"48,Tx,Texas,3457,8100,98457"
"57,FR,Foreign,3452,7318,69442"
"06,Ca,California,3120,6924,93904"
"40,Ok,Oklahoma,2522,5632,68602"
"08,Co,Colorado,1765,3859,41286"
"31,Ne,Nebraska,1347,2733,31811"
"17,Il,Illinois,1094,2298,35074"
"12,Fl,Florida,1001,2063,24256"
"19,Ia,Iowa,899,1762,23764"
"04,Az,Arizona,772,1673,19737"
"51,Va,Virginia,685,1702,22691"
"39,Oh,Ohio,652,1455,24662"
"36,NY,New York,638,1372,19505"
"05,Ar,Arkansas,624,1448,13007"
"53,Wa,Washington,571,1315,15482"
"13,Ga,Georgia,556,1298,15877"
"26,Mi,Michigan,534,1119,16211"
"37,NC,North Carolina,520,1197,14714"
"18,In,Indiana,471,1040,15445"
"42,Pa,Pennsylvania,458,949,16483"
"27,Mn,Minnesota,447,948,17222"
"35,NM,New Mexico,426,1017,10015"
"22,La,Louisiana,417,1001,11125"
"47,Tn,Tennessee,406,921,13478"
"21,Ky,Kentucky,382,984,12987"
"01,Al,Alabama,333,796,9580"
"55,Wi,Wisconsin,314,668,9132"
"24,Md,Maryland,296,617,10959"
"32,Nv,Nevada,268,570,5971"
"34,NJ,New Jersey,250,563,11474"
"45,SC,South Carolina,241,558,6922"
"15,Hi,Hawaii,225,614,7407"
"28,Ms,Mississippi,218,517,4997"
"41,Or,Oregon,215,434,4500"
"02,Ak,Alaska,215,597,6934"
"25,Ma,Massachusetts,210,376,5927"
"46,SD,South Dakota,194,373,4211"
"56,Wy,Wyoming,171,387,3730"
"09,Ct,Connecticut,147,299,6542"
"49,Ut,Utah,141,356,3564"
"38,ND,North Dakota,130,263,3099"
"30,Mt,Montana,104,225,2070"
"16,Id,Idaho,97,218,2060"
"54,WV,West Virginia,81,171,2278"
"33,NH,New Hampshire,67,137,1519"
"23,Me,Maine,58,118,1221"
"11,DC,District of Columbia,50,97,1367"
"44,RI,Rhode Island,35,70,688"
"10,De,Delaware,34,71,889"
"50,Vt,Vermont,32,59,567"
"20,Ks S,tate Non-Migrant,862775,1996309,30127570"
