"NEVADA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Nevada (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"32.0","96.0","NV","NV Total Mig - US & For","48413.0","93593.0","1816944.0"
"32.0","97.0","NV","NV Total Mig - US","47379.0","91828.0","1772270.0"
"32.0","98.0","NV","NV Total Mig - Foreign","1034.0","1765.0","44675.0"
"32.0","32.0","NV","NV Non-Migrants","945117.0","2053181.0","49571102.0"
"32.0","6.0","CA","CALIFORNIA","13455.0","26057.0","473495.0"
"32.0","48.0","TX","TEXAS","3457.0","7245.0","139002.0"
"32.0","4.0","AZ","ARIZONA","3272.0","6526.0","118943.0"
"32.0","53.0","WA","WASHINGTON","2165.0","4289.0","85788.0"
"32.0","12.0","FL","FLORIDA","2133.0","3644.0","86013.0"
"32.0","49.0","UT","UTAH","2059.0","4634.0","76210.0"
"32.0","8.0","CO","COLORADO","1833.0","3526.0","78798.0"
"32.0","41.0","OR","OREGON","1414.0","2596.0","47460.0"
"32.0","36.0","NY","NEW YORK","1146.0","1796.0","40515.0"
"32.0","17.0","IL","ILLINOIS","1118.0","2029.0","37210.0"
"32.0","57.0","FR","Foreign","1034.0","1765.0","44675.0"
"32.0","16.0","ID","IDAHO","924.0","2005.0","34692.0"
"32.0","26.0","MI","MICHIGAN","852.0","1587.0","26281.0"
"32.0","35.0","NM","NEW MEXICO","830.0","1765.0","35577.0"
"32.0","15.0","HI","HAWAII","754.0","1436.0","26623.0"
"32.0","39.0","OH","OHIO","754.0","1323.0","26331.0"
"32.0","51.0","VA","VIRGINIA","721.0","1475.0","36406.0"
"32.0","42.0","PA","PENNSYLVANIA","648.0","1157.0","24425.0"
"32.0","37.0","NC","NORTH CAROLINA","643.0","1216.0","24122.0"
"32.0","29.0","MO","MISSOURI","633.0","1254.0","29892.0"
"32.0","40.0","OK","OKLAHOMA","604.0","1263.0","21630.0"
"32.0","13.0","GA","GEORGIA","599.0","1205.0","22773.0"
"32.0","47.0","TN","TENNESSEE","497.0","953.0","19950.0"
"32.0","27.0","MN","MINNESOTA","430.0","768.0","16929.0"
"32.0","55.0","WI","WISCONSIN","429.0","732.0","14710.0"
"32.0","22.0","LA","LOUISIANA","417.0","835.0","14503.0"
"32.0","18.0","IN","INDIANA","410.0","749.0","16435.0"
"32.0","34.0","NJ","NEW JERSEY","404.0","724.0","16018.0"
"32.0","2.0","AK","ALASKA","372.0","704.0","13464.0"
"32.0","24.0","MD","MARYLAND","363.0","655.0","16918.0"
"32.0","30.0","MT","MONTANA","350.0","659.0","13656.0"
"32.0","25.0","MA","MASSACHUSETTS","335.0","533.0","14194.0"
"32.0","20.0","KS","KANSAS","334.0","656.0","11797.0"
"32.0","45.0","SC","SOUTH CAROLINA","301.0","602.0","11951.0"
"32.0","31.0","NE","NEBRASKA","296.0","607.0","9349.0"
"32.0","19.0","IA","IOWA","288.0","536.0","8193.0"
"32.0","5.0","AR","ARKANSAS","256.0","524.0","8241.0"
"32.0","56.0","WY","WYOMING","250.0","557.0","11129.0"
"32.0","21.0","KY","KENTUCKY","248.0","458.0","9467.0"
"32.0","1.0","AL","ALABAMA","225.0","466.0","9510.0"
"32.0","46.0","SD","SOUTH DAKOTA","194.0","343.0","6290.0"
"32.0","28.0","MS","MISSISSIPPI","166.0","327.0","4913.0"
"32.0","38.0","ND","NORTH DAKOTA","165.0","319.0","5796.0"
"32.0","9.0","CT","CONNECTICUT","163.0","279.0","7835.0"
"32.0","33.0","NH","NEW HAMPSHIRE","88.0","142.0","3507.0"
"32.0","54.0","WV","WEST VIRGINIA","85.0","154.0","3254.0"
"32.0","11.0","DC","DISTRICT OF COLUMBIA","70.0","100.0","3242.0"
"32.0","44.0","RI","RHODE ISLAND","69.0","128.0","2798.0"
"32.0","10.0","DE","DELAWARE","60.0","118.0","2584.0"
"32.0","23.0","ME","MAINE","59.0","109.0","2331.0"
"32.0","50.0","VT","VERMONT","41.0","63.0","1122.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
